month,unlocked,delta,address,cap
2029-01-13 00:00:00,3548093.511111111,0.0,0x0021cc8476654edcfa1d148179cfee31bdc279a7,2797149
2029-02-13 00:00:00,3628732.0,0.0,0x0021cc8476654edcfa1d148179cfee31bdc279a7,2797149
2025-02-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-03-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-04-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-05-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-06-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-07-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-08-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-09-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-10-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-11-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2025-12-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-01-13 00:00:00,0.0,0.0,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-02-13 00:00:00,585664.6,585664.6,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-03-13 00:00:00,650738.4444444444,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-04-13 00:00:00,715812.2888888889,65073.84444444452,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-05-13 00:00:00,780886.1333333333,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-06-13 00:00:00,845959.9777777777,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-07-13 00:00:00,911033.8222222222,65073.84444444452,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-08-13 00:00:00,976107.6666666666,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-09-13 00:00:00,1041181.511111111,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-10-13 00:00:00,1106255.3555555556,65073.84444444452,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-11-13 00:00:00,1171329.2,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2026-12-13 00:00:00,1236403.0444444446,65073.844444444636,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-01-13 00:00:00,1301476.888888889,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-02-13 00:00:00,1366550.7333333334,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-03-13 00:00:00,1431624.5777777778,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-04-13 00:00:00,1496698.4222222222,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
2027-05-13 00:00:00,1561772.2666666666,65073.8444444444,0x003f926aca18cf1688bfbd5eeaaa93a7b2e27c29,2257250
